Country,Pop_growth_1980_1985,Pop_growth_1985_1990,Pop_growth_1990_1995,Pop_growth_1995_2000,Pop_growth_2000_2005,Pop_growth_2005_2010,Pop_growth_2010_2015,Latitude,Longitude
Argentina,1.081224612,1.077033695,1.06920556,1.058941009,1.056346025,1.053068438,1.053219717,-34,-64
Bahamas,1.114022596,1.092295892,1.09288445,1.06332322,1.105240189,1.095948244,1.075354045,24.15,-76
Barbados,1.014789849,1.017348494,1.017628759,1.018417874,1.015453602,1.02029123,1.016596917,13.1,-59.32
Belize,1.144086022,1.137218045,1.103492402,1.194965211,1.145444988,1.135307823,1.117160536,17.15,-88.45
Bolivia,1.111275107,1.103790519,1.103623701,1.102130117,1.094238151,1.086882672,1.081309707,-17,-65
Brazil,1.119776952,1.099072374,1.0821973,1.0800675,1.072205797,1.053772341,1.046488718,-10,-55
Canada,1.054853007,1.071274381,1.056241229,1.048228521,1.050123986,1.052403751,1.054300407,60,-100
Chile,1.077818546,1.09,1.080113688,1.068789678,1.061051825,1.057060604,1.054839098,-30,-71
Colombia,1.118025878,1.11,1.092508774,1.07910853,1.071321722,1.060816012,1.050320026,4,-72
Costa Rica,1.142685545,1.133966735,1.134024981,1.118065584,1.082128164,1.070019116,1.057769945,10,-84
Cuba,1.025196285,1.049498214,1.030614964,1.01932322,1.012976768,1.004180782,1.007201014,21.3,-80
Dominican Republic,1.116983717,1.107074278,1.098664328,1.08491692,1.078825173,1.071491745,1.063690773,19,-70.4
Ecuador,1.134085966,1.129571368,1.119640872,1.103842637,1.087628874,1.08732726,1.080997329,-2,-77.3
El Salvador,1.074983398,1.06729419,1.064100318,1.039919553,1.023292107,1.015318107,1.014618329,13.5,-88.55
Guatemala,1.14031773,1.128247613,1.130894083,1.128537705,1.127888056,1.117477149,1.109327422,15.3,-90.15
Guyana,0.972578533,0.941493255,1.0089132,1.021356818,1.000377247,1.014626263,1.018225019,5,-59
Honduras,1.165457416,1.157151488,1.140267082,1.116602339,1.102048989,1.090651698,1.076117955,15,-86.3
Jamaica,1.083497421,1.034139587,1.037656904,1.044108871,1.020935433,1.017862006,1.013051783,18.15,-77.3
Mexico,1.1152684,1.107171199,1.102997451,1.088763219,1.067497473,1.080818213,1.070813136,23,-102
Nicaragua,1.141290066,1.117406156,1.112839481,1.089882768,1.070132232,1.066623539,1.060008157,13,-85
Panama,1.121652903,1.11342868,1.108101546,1.106138131,1.095930664,1.090745037,1.085244896,9,-80
Paraguay,1.154434813,1.147585809,1.129839525,1.11381371,1.092931903,1.071502151,1.069122109,-23,-58
Peru,1.125918249,1.116741665,1.101348534,1.078045623,1.06542689,1.063861058,1.068191412,-10,-76
Suriname,1.023953911,1.099092793,1.091971196,1.078325819,1.023400936,1.053130081,1.047940711,4,-56
Trinidad and Tobago,1.078889902,1.043529502,1.02708896,1.010342629,1.02283159,1.02403368,1.024087042,11,-61
United States,1.047085488,1.05,1.07,1.059653482,1.047328026,1.046800281,1.039024026,38,-97
Uruguay,1.03296888,1.032564054,1.036919733,1.029902537,1.001315774,1.014674,1.016933331,-33,-56
Venezuela,1.141042185,1.134446649,1.117144028,1.103332467,1.093443697,1.083178678,1.072850012,8,-66
